"zip","TOTAL10","TOTAL11","TOTAL5","TOTAL7","TOTAL12","TOTAL9","TOTAL6","TOTAL13","TOTAL8","TOTAL15","TOTAL14","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE15","RAPE14","RAPE13","latitude","longitude","state","sector_desc.x","INSTNM","primary_city","county","rape.rate5","rape.rate6","rape.rate7","rape.rate9","rape.rate11","rape.rate12","rape.rate13","rape.rate15"
77055,NA,NA,117,96,NA,NA,117,212,96,212,212,0,0,0,0,NA,NA,NA,NA,0,0,0,29.8,-95.49,"TX","Private for-profit, less-than 2-year","School of Automotive Machinists","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77056,NA,NA,1793,2223,NA,NA,1793,NA,2223,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.75,-95.47,"TX","Private for-profit, 4-year or above","The Art Institute of Houston","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77057,NA,NA,43518,NA,NA,NA,43518,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.74,-95.49,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,NA,NA,NA,NA,NA,NA
77057,NA,NA,640,388,NA,NA,640,NA,388,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.74,-95.49,"TX","Private for-profit, less-than 2-year","Texas School of Business-Southwest Inc","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77057,NA,NA,NA,516,NA,NA,NA,NA,516,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,29.74,-95.49,"TX",NA,"Medvance Institute-Houston","Houston","Harris County",NA,NA,0,NA,NA,NA,NA,NA
77058,NA,NA,7522,7643,NA,NA,7522,8906,7643,8906,8906,0,0,0,0,NA,NA,NA,NA,0,0,0,29.56,-95.1,"TX","Public, 4-year or above","University of Houston-Clear Lake","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77060,NA,NA,13,NA,NA,NA,13,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.93,-95.39,"TX","Private for-profit, less-than 2-year","Interactive Learning Systems","Houston","Harris County",0,0,NA,NA,NA,NA,NA,NA
77060,NA,NA,NA,1226,NA,NA,NA,495,1226,495,495,NA,NA,0,0,NA,NA,NA,NA,0,0,0,29.93,-95.39,"TX",NA,"Everest Institute-Greenspoint","Houston","Harris County",NA,NA,0,NA,NA,NA,0,0
77060,NA,NA,NA,NA,NA,NA,NA,362,NA,362,362,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.93,-95.39,"TX",NA,"Fortis Institute-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77061,NA,NA,NA,NA,NA,NA,NA,208,NA,208,208,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.65,-95.28,"TX",NA,"Aviation Institute of Maintenance-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77062,NA,NA,NA,NA,NA,NA,NA,13740,NA,13740,13740,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.57,-95.13,"TX",NA,"Embry-Riddle Aeronautical University-Worldwide","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77063,NA,NA,772,1375,NA,NA,772,599,1375,599,599,0,0,0,0,NA,NA,NA,NA,0,0,0,29.74,-95.52,"TX","Private for-profit, less-than 2-year","Texas Barber Colleges and Hairstyling Schools","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77063,NA,NA,772,1375,NA,NA,772,599,1375,599,599,0,0,0,0,NA,NA,NA,NA,0,0,0,29.74,-95.52,"TX","Private for-profit, less-than 2-year","Texas Barber Colleges and Hairstyling Schools","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77063,NA,NA,772,1375,NA,NA,772,599,1375,599,599,0,0,0,0,NA,NA,NA,NA,0,0,0,29.74,-95.52,"TX","Private for-profit, less-than 2-year","Texas Barber Colleges and Hairstyling Schools","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77063,NA,NA,772,1375,NA,NA,772,599,1375,599,599,0,0,0,0,NA,NA,NA,NA,0,0,0,29.74,-95.52,"TX","Private for-profit, less-than 2-year","Texas Barber Colleges and Hairstyling Schools","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77063,NA,NA,NA,622,NA,NA,NA,NA,622,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,29.74,-95.52,"TX",NA,"ITT Technical Institute-Houston West","Houston","Harris County",NA,NA,0,NA,NA,NA,NA,NA
