"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"Anna Maria College","Private nonprofit, 4-year or above",3,NA,NA,0,0,0,1,1,2,0,0
"Anne Arundel Community College","Public, 2-year",0,0,1,0,0,1,3,0,1,0,0
"Annenberg School of Nursing","Private nonprofit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Anoka-Ramsey Community College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Anoka Technical College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Antelope Valley College","Public, 2-year",0,0,3,1,0,0,0,0,0,0,0
"Antelope Valley Medical College","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthem College-Denver","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthem College-Maryland Heights","Private for-profit, 2-year",NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"Anthem College-Phoenix","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"Anthem College-Portland","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthem Institute-Cherry Hill","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthem Institute-Jersey City","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthem Institute-North Brunswick","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthem Institute-Parsippany","Private for-profit, less-than 2-year",NA,NA,NA,0,0,0,0,0,0,NA,NA
"Anthem Institute-Springfield","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthem Institute - Manhattan","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Antilles School of Technical Careers","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antioch College","Private nonprofit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Antioch University-Los Angeles","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Antioch University-Los Angeles Branch","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Antioch University-Midwest","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Antioch University-New England","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
