"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"ITT Technical Institute-Austin","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Baton Rouge","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Bensalem","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Bessemer","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Boise","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Burr Ridge","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Canton","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Chantilly","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Charlotte","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Chattanooga","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Clovis","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Cordova","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Dayton","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Duluth","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Dunmore","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Earth City","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Eden Prairie","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Everett","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Fort Lauderdale","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Fort Wayne","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Getzville","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Green Bay","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Greenfield","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Greenville","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Harrisburg","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Henderson","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Hilliard","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Houston North","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Houston West","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Indianapolis","Private for-profit, 4-year or above",NA,0,0,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Jacksonville","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Kansas City","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Kennesaw","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-King of Prussia","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Knoxville","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Lake Mary","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Lathrop","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Lexington","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Little Rock","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Liverpool","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Louisville","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Maumee","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Miami","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Mobile","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Monroeville","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Mount Prospect","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Murray","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Nashville","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Newburgh","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Norfolk","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Norwood","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Oklahoma City","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Omaha","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Orange","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"ITT Technical Institute-Owings Mills","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Oxnard","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Pinellas Park","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Pittsburgh","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Portland","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Rancho Cordova","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Richardson","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Richmond","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Saint Rose","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-San Antonio","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-San Bernardino","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-San Diego","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-San Dimas","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Seattle","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-South Bend","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Spokane Valley","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Springfield","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Strongsville","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Swartz Creek","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Sylmar","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Tampa","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Tempe","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Thornton","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Torrance","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Troy","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Tucson","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Tulsa","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Warrensville Heights","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Webster","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Wichita","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Woburn","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Wyoming","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"ITT Technical Institute-Youngstown","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ITT Technnical Institute-Orland Park","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"IVAEM College","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Iverson Business School and Court Reporting","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ivy Tech Community College","Public, 2-year",0,NA,NA,NA,NA,NA,0,0,0,0,0
"Ivy Tech Community College-Bloominton","Public, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Ivy Tech Community College-Central Indiana","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Columbus","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-East Central","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Kokomo","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Lafayette","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Northcentral","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Northeast","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Northwest","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Richmond","Public, 2-year",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-South Central","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Southeast","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Southwest","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Wabash Valley","Public, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Ivy Tech Community College-Whitewater","Public, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J & J Hair Design College","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J Boutique College of Beauty","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"J Everett Light Career Center","Public, less-than 2-year",NA,NA,NA,0,0,0,0,0,0,NA,NA
"J F Drake State Community and Technical College","Public, 2-year",0,NA,NA,NA,NA,NA,0,0,0,0,0
"J F Drake State Technical College","Public, 2-year",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"J M Academy of Cosmetology Inc","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J Michael Harrold Beauty Academy","Private for-profit, less-than 2-year",0,0,0,0,0,0,0,0,0,0,0
"J Renee College","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"J Sargeant Reynolds Community College","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson College","Public, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"Jackson Community College","Public, 2-year",NA,NA,NA,0,0,1,0,0,0,NA,NA
"Jackson State Community College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Jackson State University","Public, 4-year or above",0,NA,NA,1,0,0,0,0,0,0,6
"Jacksonville Beauty Institute","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jacksonville College-Main Campus","Private nonprofit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Jacksonville State University","Public, 4-year or above",0,0,0,0,1,0,1,2,2,0,1
"Jacksonville University","Private nonprofit, 4-year or above",0,1,1,0,1,0,0,0,1,1,2
"James A Rhodes State College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,1
"James Albert School of Cosmetology","Private for-profit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"James H Faulkner State Community College","Public, 2-year",0,0,0,0,0,0,0,0,1,0,0
"James Madison University","Public, 4-year or above",6,NA,NA,1,0,NA,NA,NA,NA,4,12
"James Rumsey Technical Institute","Public, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"James Sprunt Community College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Jameson Health System","Private nonprofit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Jamestown Business College","Private for-profit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Jamestown College","Private nonprofit, 4-year or above",NA,0,1,0,0,NA,NA,NA,NA,NA,NA
"Jamestown Community College","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarvis Christian College","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Javelin Technical Training Center","Private for-profit, less-than 2-year",NA,0,0,1,0,NA,NA,NA,NA,NA,NA
"Jay's Technical Institute","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean Madeline Aveda Institute","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Jefferson College","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson College of Health Sciences","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson Community and Technical College","Public, 2-year",0,NA,NA,0,0,0,0,0,0,1,0
"Jefferson Community College","Public, 2-year",NA,0,2,0,0,NA,NA,NA,NA,NA,NA
"Jefferson County Dubois Area Vocational Technical Practical Nursing Program","Public, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Jefferson Davis Community College","Public, 2-year",0,NA,NA,NA,NA,NA,0,0,0,0,0
"Jefferson Lewis BOCES-Practical Nursing Program","Public, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Jefferson Regional Medical Center School of Nursing","Private nonprofit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Jefferson School of Nursing","Private nonprofit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Jefferson State Community College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Jenny Lea Academy of Cosmetology","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Jenny Lea Academy of Cosmetology","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jersey College","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jesuit School of Theology at Berkeley","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Jewish Theological Seminary of America","Private nonprofit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"JFK Medical Center Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing","Private nonprofit, 2-year",NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing","Private nonprofit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jna Institute of Culinary Arts","Private for-profit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Joe Kubert School of Cartoon and Graphic Art","Private for-profit, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Joffrey Ballet School","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Joffrey Ballet School-American Ballet Center","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John A Gupton College","Private nonprofit, 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"John A Logan College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"John Brown University","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"John C Calhoun State Community College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"John Carroll University","Private nonprofit, 4-year or above",1,5,4,2,4,NA,NA,NA,NA,2,3
"John D Rockefeller IV Career Center","Public, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"John Dewey College","Private nonprofit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Dewey College","Private nonprofit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Dewey College-Carolina Campus","Private nonprofit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Dewey College-Juana Diaz Branch","Private nonprofit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Dewey College-University Division","Private nonprofit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Dewey College?Arroyo Branch","Private nonprofit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Dewey College?Fajardo Branch","Private nonprofit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John F Kennedy University","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John F. Kennedy University","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"John Jay Beauty College","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"John Marshall Law School-Atlanta","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"John Marshall Law School-Atlanta","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"John Paul the Great Catholic University","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"John Tyler Community College","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"John Wesley College","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John Wesley International Barber and Beauty College","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"John Wood Community College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Johns Hopkins University","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson & Wales University","Private nonprofit, 4-year or above",NA,6,8,3,12,NA,NA,NA,NA,NA,NA
"Johnson & Wales University-Charlotte","Private nonprofit, 4-year or above",2,1,0,0,1,NA,NA,NA,NA,0,2
"Johnson & Wales University-Denver","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,1,0
"Johnson & Wales University-Florida Campus","Private nonprofit, 4-year or above",NA,0,0,2,2,NA,NA,NA,NA,NA,NA
"Johnson & Wales University-North Miami","Private nonprofit, 4-year or above",3,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Johnson & Wales University-Providence","Private nonprofit, 4-year or above",5,NA,NA,NA,NA,NA,NA,NA,NA,5,6
"Johnson Bible College","Private nonprofit, 4-year or above",NA,0,0,0,1,NA,NA,NA,NA,NA,NA
"Johnson C Smith University","Private nonprofit, 4-year or above",6,1,1,0,0,NA,NA,NA,NA,4,2
"Johnson College","Private nonprofit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Johnson County Community College","Public, 2-year",7,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Johnson State College","Public, 4-year or above",0,2,0,2,1,NA,NA,NA,NA,0,2
"Johnson University","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Johnson University Florida","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Johnston Community College","Public, 2-year",0,0,1,0,0,NA,NA,NA,NA,0,0
"Jolie Hair and Beauty Academy","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Jolie Hair and Beauty Academy-Hazleton","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jolie Hair and Beauty Academy-Ludlow","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jolie Hair and Beauty Academy-Northfield","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jolie Hair and Beauty Academy-Wilkes-Barre","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Joliet Junior College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Jones Beauty College","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Jones College-Jacksonville","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"Jones College-Miami Campus","Private nonprofit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Jones County Junior College","Public, 2-year",0,NA,NA,0,0,0,0,0,0,0,0
"Jonesville Beauty School","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Maria Vargas University","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Josef's School of Hair Design Inc","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Josef's School of Hair Design Inc-Fargo Downtown","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Josef's School of Hair Design Inc-Grand Forks","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Josef's West Academy","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Joseph's College","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"Joseph's College Cosmetology","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Joseph Charles Institute","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"Joseph F McCloskey School of Nursing at Schuylkill Health","Private nonprofit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Josephs College of Beauty-Lincoln","Private for-profit, 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Judson College","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Judson University","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,1,0
"Jung Tao School of Classical Chinese Medicine","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Juniata College","Private nonprofit, 4-year or above",2,0,0,0,0,NA,NA,NA,NA,2,2
"JZ Trend Academy Paul Mitchell Partner School","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"K D Studio","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Kaizen Beauty Academy","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Kalamazoo College","Private nonprofit, 4-year or above",0,NA,NA,2,1,0,1,1,1,3,3
"Kalamazoo Valley Community College","Public, 2-year",0,0,0,0,0,1,0,0,0,1,0
"Kankakee Community College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Kansas City Art Institute","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,1,0
"Kansas City Kansas Community College","Public, 2-year",1,NA,NA,NA,NA,NA,0,0,1,0,0
"Kansas City Ks Area Technical School","Public, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Kansas City University of Medicine and Biosciences","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Kansas State University","Public, 4-year or above",5,NA,NA,NA,NA,NA,NA,NA,NA,5,3
"Kansas Wesleyan University","Private nonprofit, 4-year or above",0,2,0,0,0,0,0,0,0,0,0
"Kapiolani Community College","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaplan Career Institute","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Kaplan Career Institute","Private for-profit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Kaplan Career Institute","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaplan Career Institute-Charlestown","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"Kaplan Career Institute-Detroit","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Kaplan Career Institute-ICM Campus","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Kaplan Career Institute-San Antonio Campus","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Kaplan Career Institute-San Antonio Campus","Private for-profit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
