"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"University of South Alabama","Public, 4-year or above",5230,8549,13779,1,2,366880002,3,4,5729,8793,14522,"5901","8868","14769",2,"Public, 4-year or above","Public, 4-year or above","5781","8855","14636","6",4,5,"Public, 4-year or above",6239,9972,16211,1,3,1
"University of South Alabama","Public, 4-year or above",5230,8549,13779,0,0,36604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of South Alabama","Public, 4-year or above",5230,8549,13779,0,0,36615,0,0,5729,8793,14522,"5901","8868","14769",0,"Public, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeastern Bible College","Private nonprofit, 4-year or above",133,87,220,0,0,352442083,0,0,127,76,203,"105","70","175",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","105","74","179","0",0,0,"Private nonprofit, 4-year or above",90,61,151,0,0,0
"Stillman College","Private nonprofit, 4-year or above",411,504,915,0,0,35401,0,0,443,598,1041,"501","571","1072",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","529","490","1019","0",0,0,"Private nonprofit, 4-year or above",446,449,895,0,0,0
"Talladega College","Private nonprofit, 4-year or above",106,244,350,0,0,35160,1,1,281,419,700,"314","398","712",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","535","668","1203","1",1,0,"Private nonprofit, 4-year or above",526,463,989,1,0,0
"H Councill Trenholm State Technical College","Public, 2-year",667,673,1340,0,0,361083199,0,0,871,862,1733,"821","900","1721",0,"Public, 2-year","Public, 2-year","682","763","1445","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Tuskegee University","Private nonprofit, 4-year or above",1248,1688,2936,0,1,360881920,0,1,1209,1722,2931,"1279","1873","3152",1,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","1281","1836","3117","0",1,4,"Private nonprofit, 4-year or above",1187,1809,2996,4,4,1
"United States Sports Academy","Private nonprofit, 4-year or above",380,142,522,0,0,365267055,0,0,451,202,653,"399","172","571",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","285","116","401","0",0,0,"Private nonprofit, 4-year or above",234,85,319,0,0,0
"Bevill State Community College","Public, 2-year",1326,2661,3987,0,0,35148,0,0,1696,2858,4554,"1458","2611","4069",0,"Public, 2-year","Public, 2-year","1335","2399","3734","0",0,0,NA,NA,NA,NA,NA,NA,NA
