"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"Broken Arrow Beauty College-Tulsa","not Dertermined yet",3,53,56,0,0,74133,0,0,2,53,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",2,57,59,0,0,0
"Universal Technical Institute of Northern California Inc","not Dertermined yet",698,11,709,0,0,95834,0,0,2215,42,2257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",1596,52,1648,0,0,0
"University of Phoenix-Omaha Campus","Private for-profit, 4-year or above",54,73,127,0,0,681545240,0,0,20,16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Northwest Indiana Campus","Private for-profit, 4-year or above",1,2,3,1,0,46410,0,0,42,78,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Madison Campus","Private for-profit, 4-year or above",30,46,76,0,0,537182416,0,0,81,87,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Columbia Campus","Private for-profit, 4-year or above",122,318,440,0,0,292235733,0,0,183,461,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National American University-Zona Rosa","Private for-profit, 4-year or above",36,279,315,0,0,64153,0,0,56,402,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unitech Training Academy-Houma","Private for-profit, 2-year",6,205,211,0,0,70363,0,0,8,151,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",1,48,49,0,0,0
"Miller-Motte Technical College-Goodlettsville","Private for-profit, 2-year",74,1,75,0,0,37072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Educational Technical College-Recinto De Coama","Private for-profit, less-than 2-year",104,218,322,0,0,769,0,0,131,173,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Educational Technical College-Recinto de san Sebastian","Private for-profit, less-than 2-year",105,218,323,0,0,685,0,0,107,221,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",48,145,193,0,0,0
"Argosy University-Denver","Private for-profit, 4-year or above",36,79,115,0,0,75231,0,0,103,294,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College America-Colorado Springs","Private for-profit, 4-year or above",72,168,240,0,0,80909,0,0,202,473,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College America-Fort Collins","Private for-profit, 4-year or above",27,89,116,0,0,80525,0,0,128,311,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Automotive Training Center","Private for-profit, 2-year",260,4,264,0,0,18974,0,0,320,10,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanford-Brown College","Private for-profit, less-than 2-year",81,699,780,0,0,53219,0,0,140,935,1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Robert B Miller College","Private nonprofit, 4-year or above",57,141,198,0,0,49017,0,0,70,220,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Fairfield County Campus","Private for-profit, 4-year or above",55,66,121,0,0,68541700,0,0,41,40,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triangle Tech Inc-Bethlehem","Private for-profit, 2-year",109,5,114,0,0,18017,0,0,126,5,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",115,3,118,0,0,0
"Milan Institute","Private for-profit, less-than 2-year",27,358,385,0,0,93612,0,0,41,419,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brio Academy of Fairfield","Private for-profit, less-than 2-year",6,108,114,0,0,6825,0,0,18,143,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Branford Hall Career Institute-Albany Campus","Private for-profit, less-than 2-year",9,64,73,0,0,12205,0,0,50,356,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",36,169,205,0,0,0
"Harris School of Business-Linwood Campus","Private for-profit, less-than 2-year",27,120,147,0,0,8221,0,0,91,328,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",42,301,343,0,0,0
"College of Business and Technology-Flagler Campus","Private for-profit, 2-year",108,10,118,0,0,33144,0,0,127,2,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of Business and Technology-Hialeah Campus","Private for-profit, 2-year",89,14,103,0,0,33012,0,0,205,13,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miller-Motte College-Cary","Private for-profit, 2-year",16,0,16,0,0,27518,0,0,79,543,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",27,280,307,0,0,0
"Miami-Jacobs Career College-Springboro Branch","Private for-profit, 2-year",13,331,344,0,0,45066,0,0,59,379,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daymar College-Paducah","Private for-profit, 2-year",14,71,85,0,0,42001,0,0,36,189,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brittany Beauty School","Private for-profit, less-than 2-year",3,172,175,0,0,10458,0,0,9,206,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",7,136,143,0,0,0
"Lincoln Technical Institute","Private for-profit, less-than 2-year",131,7,138,0,0,11357,0,0,834,19,853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama State University",NA,NA,NA,NA,NA,NA,361040271,2,1,2108,3456,5564,"2122","3303","5425",0,"Public, 4-year or above","Public, 4-year or above","2276","3540","5816","0",1,1,"Public, 4-year or above",2017,3366,5383,2,2,0
"Auburn University-Montgomery",NA,NA,NA,NA,NA,NA,361173596,1,0,2028,3539,5567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oakwood University",NA,NA,NA,NA,NA,NA,358960003,4,0,797,1119,1916,"869","1137","2006",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","870","1149","2019","0",0,0,"Private nonprofit, 4-year or above",729,1020,1749,2,0,0
"Samford University",NA,NA,NA,NA,NA,NA,352292240,0,1,1877,2781,4658,"1923","2835","4758",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","1849","2909","4758","0",0,0,"Private nonprofit, 4-year or above",1946,3260,5206,0,0,0
"University of South Alabama",NA,NA,NA,NA,NA,NA,36532,0,0,5729,8793,14522,"5901","8868","14769",0,"Public, 4-year or above","Public, 4-year or above","5781","8855","14636","0",0,0,"Public, 4-year or above",6239,9972,16211,0,0,0
"Spring Hill College",NA,NA,NA,NA,NA,NA,366081791,0,1,578,943,1521,"523","916","1439",1,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","513","795","1308","2",2,3,"Private nonprofit, 4-year or above",592,887,1479,1,9,2
"Troy University",NA,NA,NA,NA,NA,NA,360820001,1,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","1",0,1,"Public, 4-year or above",6743,11022,17765,1,0,2
"Troy University",NA,NA,NA,NA,NA,NA,36869,0,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","0",0,0,"Public, 4-year or above",6743,11022,17765,0,0,0
"Troy University",NA,NA,NA,NA,NA,NA,361034419,0,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","0",0,0,"Public, 4-year or above",6743,11022,17765,0,0,0
"Troy University",NA,NA,NA,NA,NA,NA,363040368,0,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","0",0,0,"Public, 4-year or above",6743,11022,17765,0,0,0
"Troy University",NA,NA,NA,NA,NA,NA,23513,0,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","0",0,0,"Public, 4-year or above",6743,11022,17765,0,0,0
"Troy University",NA,NA,NA,NA,NA,NA,32548,0,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","0",0,0,"Public, 4-year or above",6743,11022,17765,0,0,0
"Troy University",NA,NA,NA,NA,NA,NA,31914,0,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","0",0,0,"Public, 4-year or above",6743,11022,17765,0,0,0
"Troy University",NA,NA,NA,NA,NA,NA,80919,0,0,11061,18267,29328,"9464","16708","26172",0,"Public, 4-year or above","Public, 4-year or above","8156","14398","22554","0",0,0,"Public, 4-year or above",6743,11022,17765,0,0,0
"University of Alaska Southeast",NA,NA,NA,NA,NA,NA,99901,0,0,1072,2188,3260,"1150","2194","3344",0,"Public, 4-year or above","Public, 4-year or above","1072","2045","3117","0",0,0,"Public, 4-year or above",929,1871,2800,0,0,0
"University of Alaska Southeast",NA,NA,NA,NA,NA,NA,99835,0,0,1072,2188,3260,"1150","2194","3344",0,"Public, 4-year or above","Public, 4-year or above","1072","2045","3117","0",0,0,"Public, 4-year or above",929,1871,2800,0,0,0
"Charter College",NA,NA,NA,NA,NA,NA,99508,0,0,302,830,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everest College-Phoenix",NA,NA,NA,NA,NA,NA,85021,0,0,1077,3611,4688,"513","1741","2254",0,"Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collins College",NA,NA,NA,NA,NA,NA,85040,0,0,903,268,1171,"666","226","892",0,"Private for-profit, 4-year or above","Private for-profit, 4-year or above","439","151","590","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Empire Beauty School-Paradise Valley",NA,NA,NA,NA,NA,NA,85032,0,0,3,53,56,"10","77","87",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","5","69","74","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Empire Beauty School-Tucson",NA,NA,NA,NA,NA,NA,85716,0,0,16,170,186,"13","175","188",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","11","153","164","0",0,0,"Private for-profit, less-than 2-year",7,108,115,0,0,0
"American Indian College of the Assemblies of God Inc",NA,NA,NA,NA,NA,NA,85021,0,0,51,35,86,"34","52","86",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","32","41","73","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Apollo College-Phoenix Inc",NA,NA,NA,NA,NA,NA,850514063,0,0,1245,4599,5844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apollo College-Phoenix Inc",NA,NA,NA,NA,NA,NA,85210,0,0,1245,4599,5844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apollo College-Phoenix Inc",NA,NA,NA,NA,NA,NA,857053591,0,0,1245,4599,5844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apollo College-Phoenix Inc",NA,NA,NA,NA,NA,NA,850171705,0,0,1245,4599,5844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apollo College-Phoenix Inc",NA,NA,NA,NA,NA,NA,871071642,0,0,1245,4599,5844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apollo College-Phoenix Inc",NA,NA,NA,NA,NA,NA,89119,0,0,1245,4599,5844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IIA College",NA,NA,NA,NA,NA,NA,85021,0,0,178,1135,1313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona State University",NA,NA,NA,NA,NA,NA,852871812,6,3,33005,35059,68064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Arizona College",NA,NA,NA,NA,NA,NA,851289778,0,1,2816,3979,6795,"2905","4537","7442",0,"Public, 2-year","Public, 2-year","2557","4461","7018","0",0,0,"Public, 2-year",2207,3642,5849,1,0,0
"Central Arizona College",NA,NA,NA,NA,NA,NA,85192,0,0,2816,3979,6795,"2905","4537","7442",0,"Public, 2-year","Public, 2-year","2557","4461","7018","0",0,0,"Public, 2-year",2207,3642,5849,0,0,0
"Central Arizona College",NA,NA,NA,NA,NA,NA,851195231,0,0,2816,3979,6795,"2905","4537","7442",0,"Public, 2-year","Public, 2-year","2557","4461","7018","0",0,0,"Public, 2-year",2207,3642,5849,0,0,0
"Central Arizona College",NA,NA,NA,NA,NA,NA,85132,0,0,2816,3979,6795,"2905","4537","7442",0,"Public, 2-year","Public, 2-year","2557","4461","7018","0",0,0,"Public, 2-year",2207,3642,5849,0,0,0
"Central Arizona College",NA,NA,NA,NA,NA,NA,85122,0,0,2816,3979,6795,"2905","4537","7442",0,"Public, 2-year","Public, 2-year","2557","4461","7018","0",0,0,"Public, 2-year",2207,3642,5849,0,0,0
"Central Arizona College",NA,NA,NA,NA,NA,NA,85128,0,0,2816,3979,6795,"2905","4537","7442",0,"Public, 2-year","Public, 2-year","2557","4461","7018","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Central Arizona College",NA,NA,NA,NA,NA,NA,85139,0,0,2816,3979,6795,"2905","4537","7442",0,"Public, 2-year","Public, 2-year","2557","4461","7018","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Charles of Italy Beauty College",NA,NA,NA,NA,NA,NA,86403,0,0,7,80,87,"10","72","82",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","10","68","78","0",0,0,"Private for-profit, less-than 2-year",9,54,63,0,0,0
"Empire Beauty School-Flagstaff",NA,NA,NA,NA,NA,NA,86004,0,0,4,55,59,"3","50","53",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","7","52","59","0",0,0,"Private for-profit, less-than 2-year",3,41,44,0,0,0
"Empire Beauty School-Chandler",NA,NA,NA,NA,NA,NA,85224,0,0,18,123,141,"18","177","195",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","8","115","123","0",0,0,"Private for-profit, less-than 2-year",9,57,66,0,0,0
"DeVry University-Arizona",NA,NA,NA,NA,NA,NA,852102011,0,0,1340,676,2016,"1195","567","1762",0,"Private for-profit, 4-year or above","Private for-profit, 4-year or above","967","452","1419","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Anthem College-Phoenix",NA,NA,NA,NA,NA,NA,85014,0,0,194,622,816,"591","2072","2663",0,"Private for-profit, 4-year or above","Private for-profit, 4-year or above","365","1491","1856","0",0,0,NA,NA,NA,NA,NA,NA,NA
"International Academy of Hair Design",NA,NA,NA,NA,NA,NA,852257198,0,0,6,163,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"International Academy of Hair Design",NA,NA,NA,NA,NA,NA,85282,0,0,6,163,169,"14","225","239",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","9","219","228","0",0,0,"Private for-profit, less-than 2-year",16,120,136,0,0,0
"Lamson College",NA,NA,NA,NA,NA,NA,85284,0,0,74,368,442,"39","141","180",0,"Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa Community College",NA,NA,NA,NA,NA,NA,85202,0,0,12423,13537,25960,"12351","13344","25695",0,"Public, 2-year","Public, 2-year","12072","12952","25024","0",0,0,"Public, 2-year",10512,10979,21491,0,0,0
"Mesa Community College",NA,NA,NA,NA,NA,NA,85207,0,0,12423,13537,25960,"12351","13344","25695",0,"Public, 2-year","Public, 2-year","12072","12952","25024","0",0,0,"Public, 2-year",10512,10979,21491,1,0,0
"ITT Technical Institute-Tucson",NA,NA,NA,NA,NA,NA,85704,0,0,398,96,494,"422","96","518",0,"Private for-profit, 4-year or above","Private for-profit, 4-year or above","382","78","460","0",0,0,NA,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Tempe",NA,NA,NA,NA,NA,NA,85282,0,0,626,214,840,"562","159","721",0,"Private for-profit, 4-year or above","Private for-profit, 4-year or above","462","113","575","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Phoenix College",NA,NA,NA,NA,NA,NA,85013,0,0,4653,7511,12164,"4834","7731","12565",0,"Public, 2-year","Public, 2-year","4676","7552","12228","0",0,0,"Public, 2-year",4386,7479,11865,1,0,0
"Cortiva Institute-Scottsdale",NA,NA,NA,NA,NA,NA,85257,0,0,37,135,172,"25","82","107",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","36","79","115","0",0,0,"Private for-profit, less-than 2-year",32,79,111,0,0,0
"University of Phoenix-Phoenix-Hohokam Campus",NA,NA,NA,NA,NA,NA,852262495,0,0,2466,3490,5956,"2730","3532","6262",0,"Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prescott College",NA,NA,NA,NA,NA,NA,86301,0,0,428,691,1119,"426","708","1134",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","400","665","1065","0",0,2,"Private nonprofit, 4-year or above",260,559,819,0,0,0
"Rio Salado College",NA,NA,NA,NA,NA,NA,852816950,0,0,7292,13573,20865,"9185","15924","25109",0,"Public, 2-year","Public, 2-year","8999","15343","24342","0",0,0,"Public, 2-year",7953,12580,20533,0,0,0
"Scottsdale Community College",NA,NA,NA,NA,NA,NA,85256,0,0,5131,5792,10923,"5505","6043","11548",0,"Public, 2-year","Public, 2-year","5206","5689","10895","0",1,0,"Public, 2-year",4701,5382,10083,0,0,0
"South Mountain Community College",NA,NA,NA,NA,NA,NA,85040,0,0,2125,3319,5444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucson College",NA,NA,NA,NA,NA,NA,85711,0,0,153,320,473,"187","310","497",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","159","217","376","0",0,0,"Private for-profit, less-than 2-year",109,170,279,0,0,0
"Empire Beauty School-NW Phoenix",NA,NA,NA,NA,NA,NA,85304,0,0,12,189,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Arkansas for Medical Sciences",NA,NA,NA,NA,NA,NA,72205,0,0,904,1870,2774,"956","1863","2819",1,"Public, 4-year or above","Public, 4-year or above","967","1842","2809","2",0,0,"Public, 4-year or above",1004,2017,3021,2,1,0
"Lyon College",NA,NA,NA,NA,NA,NA,72501,1,0,277,337,614,"279","321","600",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","280","320","600","1",0,0,"Private nonprofit, 4-year or above",374,341,715,0,0,0
"Crowleys Ridge Technical Institute",NA,NA,NA,NA,NA,NA,723350925,0,0,128,100,228,"143","127","270",0,"Public, less-than 2-year","Public, less-than 2-year","159","117","276","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Eastern College of Health Vocations",NA,NA,NA,NA,NA,NA,72209,0,0,10,155,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding University",NA,NA,NA,NA,NA,NA,72116,0,0,2610,3874,6484,"2681","4375","7056",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","2701","4068","6769","0",0,0,"Private nonprofit, 4-year or above",2546,3463,6009,0,0,0
"Harding University",NA,NA,NA,NA,NA,NA,72712,0,0,2610,3874,6484,"2681","4375","7056",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","2701","4068","6769","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Harding University",NA,NA,NA,NA,NA,NA,19003,0,0,2610,3874,6484,"2681","4375","7056",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","2701","4068","6769","0",0,0,"Private nonprofit, 4-year or above",2546,3463,6009,0,0,0
"Harding University",NA,NA,NA,NA,NA,NA,50018,0,0,2610,3874,6484,"2681","4375","7056",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","2701","4068","6769","0",0,0,"Private nonprofit, 4-year or above",2546,3463,6009,0,0,0
"Henderson State University",NA,NA,NA,NA,NA,NA,719990001,0,0,1549,2018,3567,"1626","2148","3774",0,"Public, 4-year or above","Public, 4-year or above","1629","2144","3773","0",3,3,"Public, 4-year or above",1461,2066,3527,2,2,3
"Career Academy of Hair Design",NA,NA,NA,NA,NA,NA,727647128,0,0,5,227,232,"22","316","338",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","11","352","363","0",0,0,"Private for-profit, less-than 2-year",12,236,248,0,0,0
"Arkansas Northeastern College",NA,NA,NA,NA,NA,NA,723161109,0,0,638,1276,1914,"707","1289","1996",0,"Public, 2-year","Public, 2-year","563","1109","1672","0",0,0,"Public, 2-year",478,883,1361,0,0,0
"Arkansas Northeastern College",NA,NA,NA,NA,NA,NA,72438,0,0,638,1276,1914,"707","1289","1996",0,"Public, 2-year","Public, 2-year","563","1109","1672","0",0,0,"Public, 2-year",478,883,1361,0,0,0
"Arkansas Northeastern College",NA,NA,NA,NA,NA,NA,72370,0,0,638,1276,1914,"707","1289","1996",0,"Public, 2-year","Public, 2-year","563","1109","1672","0",0,0,"Public, 2-year",478,883,1361,0,0,0
"Arkansas Northeastern College",NA,NA,NA,NA,NA,NA,72315,0,0,638,1276,1914,"707","1289","1996",0,"Public, 2-year","Public, 2-year","563","1109","1672","0",0,0,"Public, 2-year",478,883,1361,0,0,0
"Arkansas Northeastern College",NA,NA,NA,NA,NA,NA,72315,0,0,638,1276,1914,"707","1289","1996",0,"Public, 2-year","Public, 2-year","563","1109","1672","0",0,0,"Public, 2-year",478,883,1361,0,0,0
"Arkansas Northeastern College",NA,NA,NA,NA,NA,NA,72321,0,0,638,1276,1914,"707","1289","1996",0,"Public, 2-year","Public, 2-year","563","1109","1672","0",0,0,"Public, 2-year",478,883,1361,0,0,0
"Arkansas Northeastern College",NA,NA,NA,NA,NA,NA,72451,0,0,638,1276,1914,"707","1289","1996",0,"Public, 2-year","Public, 2-year","563","1109","1672","0",0,0,"Public, 2-year",478,883,1361,0,0,0
"New Tyler Barber College Inc",NA,NA,NA,NA,NA,NA,721144973,0,0,40,29,69,"37","26","63",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","37","28","65","0",0,0,"Private for-profit, less-than 2-year",40,19,59,0,0,0
"Northwest Technical Institute",NA,NA,NA,NA,NA,NA,72764,0,0,196,114,310,"138","78","216",0,"Public, less-than 2-year","Public, less-than 2-year","161","101","262","0",0,0,"Public, less-than 2-year",123,63,186,0,0,0
"Ozarka College",NA,NA,NA,NA,NA,NA,725560010,0,0,391,973,1364,"498","1124","1622",1,"Public, 2-year","Public, 2-year","475","1082","1557","0",0,0,"Public, 2-year",303,805,1108,0,0,0
"University of Arkansas Community College-Morrilton",NA,NA,NA,NA,NA,NA,72110,0,0,1004,1417,2421,"917","1379","2296",0,"Public, 2-year","Public, 2-year","900","1239","2139","0",0,0,"Public, 2-year",842,1200,2042,0,0,0
"University of Arkansas Community College-Hope",NA,NA,NA,NA,NA,NA,718020140,0,0,537,937,1474,"469","908","1377",0,"Public, 2-year","Public, 2-year","475","1021","1496","0",0,0,"Public, 2-year",448,958,1406,0,0,0
"Fayetteville Beauty College",NA,NA,NA,NA,NA,NA,72701,0,0,5,63,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Arkansas-Fort Smith",NA,NA,NA,NA,NA,NA,729133649,2,1,3097,4238,7335,"3183","4423","7606",1,"Public, 4-year or above","Public, 4-year or above","3094","4258","7352","0",1,0,"Public, 4-year or above",2943,3777,6720,2,2,1
"Abram Friedman Occupational Center",NA,NA,NA,NA,NA,NA,90015350,0,0,5256,5521,10777,"4838","5091","9929",0,"Public, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITT Technical Institute-Rancho Cordova",NA,NA,NA,NA,NA,NA,956706034,0,0,602,129,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of Alameda",NA,NA,NA,NA,NA,NA,94501,1,1,3208,4094,7302,"2863","3375","6238",0,"Public, 2-year","Public, 2-year","2566","3116","5682","0",0,0,"Public, 2-year",2762,3521,6283,0,0,0
"American Beauty College",NA,NA,NA,NA,NA,NA,91790,0,0,1,48,49,"7","39","46",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","8","36","44","0",0,0,"Private for-profit, less-than 2-year",46,33,79,0,0,0
"Everest College-Hayward",NA,NA,NA,NA,NA,NA,94541,0,0,81,525,606,"29","234","263",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","34","206","240","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Associated Technical College",NA,NA,NA,NA,NA,NA,900171601,0,0,146,234,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azusa Pacific University",NA,NA,NA,NA,NA,NA,92395,0,0,2932,5607,8539,"3447","6482","9929",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","3505","6679","10184","0",0,0,"Private nonprofit, 4-year or above",3232,6743,9975,0,0,0
"Azusa Pacific University",NA,NA,NA,NA,NA,NA,90010,0,0,2932,5607,8539,"3447","6482","9929",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","3505","6679","10184","0",0,0,"Private nonprofit, 4-year or above",3232,6743,9975,0,0,0
